Portfolio
Financial Instrument Description,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
SPX    APR2022 4300 P [SPXW  220429P04300000 100],2,USD,119.5072021,23901.44,123.5542635,-809.41,0.00,No,OPT,-246454.66
SPX    APR2022 4000 P [SPXW  220429P04000000 100],-4,USD,75.819664,-30327.87,82.2374865,2567.13,0.00,No,OPT,305432.86
SPX    APR2022 3250 P [SPXW  220429P03250000 100],2,USD,25.7420445,5148.41,27.5892635,-369.44,0.00,No,OPT,-47068.39
SPX    APR2022 4325 P [SPX   220414P04325000 100],2,USD,111.5892257,22317.85,109.4212135,433.60,0.00,No,OPT,-248012.63
SPX    APR2022 4200 P [SPX   220414P04200000 100],2,USD,91.3207168,18264.14,118.2114235,-5378.14,0.00,No,OPT,-200789.73
SPX    APR2022 4075 P [SPX   220414P04075000 100],2,USD,74.7061691,14941.23,120.6314235,-9185.05,0.00,No,OPT,-162582.92
SPX    APR2022 4050 P [SPX   220414P04050000 100],-4,USD,71.783783,-28713.51,78.6887865,2762.00,0.00,No,OPT,311775.24
SPX    APR2022 3900 P [SPX   220414P03900000 100],-4,USD,56.7404365,-22696.17,62.8887865,2459.34,0.00,No,OPT,242548.89
SPX    APR2022 3800 P [SPX   220414P03800000 100],-4,USD,48.6203956,-19448.16,53.8387865,2087.36,0.00,No,OPT,205500.98
SPX    APR2022 3350 P [SPX   220414P03350000 100],2,USD,24.9952736,4999.05,24.4512135,108.81,0.00,No,OPT,-49403.36
SPX    APR2022 3150 P [SPX   220414P03150000 100],2,USD,18.7853508,3757.07,23.8614235,-1015.21,0.00,No,OPT,-36000.86
SPX    APR2022 2775 P [SPX   220414P02775000 100],4,USD,11.0548677,4421.95,15.8614235,-1922.62,0.00,No,OPT,-39569.76
SPX    MAR2022 4100 P [SPXW  220331P04100000 100],2,USD,66.9000015,13380.00,113.6327235,-9346.54,0.00,No,OPT,-158335.03
SPX    MAR2022 3850 P [SPXW  220331P03850000 100],-2,USD,44.3280296,-8865.61,50.2074865,1175.89,0.00,No,OPT,101564.43
SPX    MAR2022 3825 P [SPXW  220331P03825000 100],-2,USD,42.5347557,-8506.95,48.0874865,1110.55,0.00,No,OPT,97170.68
SPX    MAR2022 3175 P [SPXW  220331P03175000 100],2,USD,15.853939,3170.79,25.5127235,-1931.76,0.00,No,OPT,-32459.92
SPX    MAR2022 4025 P [SPX   220318P04025000 100],2,USD,50.2999992,10060.00,113.9314235,-12726.28,0.00,No,OPT,-127680.51
SPX    MAR2022 3825 P [SPX   220318P03825000 100],2,USD,35.7000008,7140.00,36.5312135,-166.24,0.00,No,OPT,-88066.49
SPX    MAR2022 3775 P [SPX   220318P03775000 100],-4,USD,32.8546753,-13141.87,37.8837865,2011.64,0.00,No,OPT,160814.49
SPX    MAR2022 3625 P [SPX   220318P03625000 100],-4,USD,25.8615704,-10344.63,29.6587865,1518.89,0.00,No,OPT,122970.01
SPX    MAR2022 3100 P [SPX   220318P03100000 100],2,USD,11.6012373,2320.25,12.1412135,-108.00,0.00,No,OPT,-24949.52
SPX    MAR2022 2725 P [SPX   220318P02725000 100],4,USD,6.6991658,2679.67,12.8114235,-2444.90,0.00,No,OPT,-26429.79
SPX    FEB2022 2350 P [SPX   220218P02350000 100],2,USD,1.7543426,350.87,2.3612135,-121.37,0.00,No,OPT,-3839.87
SPX    JAN2022 2800 P [SPXW  220131P02800000 100],1,USD,1.9819209,198.19,4.616224,-263.43,0.00,No,OPT,-2688.67
SPX    JAN2022 2750 P [SPXW  220131P02750000 100],1,USD,1.8004347,180.04,4.216014,-241.56,0.00,No,OPT,-2447.56
SPX    JAN2022 2600 P [SPXW  220131P02600000 100],2,USD,1.3539095,270.78,2.2910135,-187.42,0.00,No,OPT,-3555.50
SPX    JAN2022 3000 P [SPXW  220128P03000000 100],1,USD,2.6118973,261.19,3.116014,-50.41,0.00,No,OPT,-3821.09
SPX    JAN2022 2850 P [SPX   220121P02850000 100],1,USD,1.3327114,133.27,3.914714,-258.20,0.00,No,OPT,-2031.10
SPX    JAN2022 2450 P [SPX   220121P02450000 100],2,USD,0.6097303,121.95,2.6649235,-411.04,0.00,No,OPT,-1736.75
SPX    JAN2022 2700 P [SPXW  220114P02700000 100],1,USD,0.7093827,70.94,4.516014,-380.66,0.00,No,OPT,-1137.93
SPY,100,USD,463.3319397,46333.19,463.02,31.19,0.00,No,STK,46333.19
MES      MAR2022,1,USD,4624.50,23122.50,4625.604,-5.52,0.00,No,FUT,23136.14

Cash Balances
USD,175359,USD
Total (in USD),175359,USD

