Portfolio
Financial Instrument Description,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
SPX    APR2022 4300 P [SPXW  220429P04300000 100],0,USD,210.5580749,0.00,0.00,null,28622.60,No,OPT,0.00
SPX    APR2022 4025 P [SPXW  220429P04025000 100],0,USD,131.520813,0.00,0.00,null,-30571.79,No,OPT,0.00
SPX    APR2022 3975 P [SPXW  220429P03975000 100],0,USD,120.7275696,0.00,0.00,null,-7567.87,No,OPT,0.00
SPX    APR2022 3400 P [SPXW  220429P03400000 100],0,USD,47.0506668,0.00,0.00,null,5554.95,No,OPT,0.00
SPX    APR2022 4325 P [SPX   220414P04325000 100],0,USD,204.4592895,0.00,0.00,null,21095.47,No,OPT,0.00
SPX    APR2022 4200 P [SPX   220414P04200000 100],2,USD,162.21315,32442.63,118.2114235,8800.35,0.00,No,OPT,-334922.40
SPX    APR2022 4050 P [SPX   220414P04050000 100],0,USD,122.7814102,0.00,0.00,null,-17541.13,No,OPT,0.00
SPX    APR2022 3900 P [SPX   220414P03900000 100],-4,USD,93.1987381,-37279.50,68.9985865,-9680.06,0.00,No,OPT,391399.46
SPX    APR2022 3500 P [SPX   220414P03500000 100],0,USD,46.4488258,0.00,0.00,null,4203.47,No,OPT,0.00
SPX    APR2022 3300 P [SPX   220414P03300000 100],2,USD,33.8521805,6770.44,42.1714135,-1663.85,0.00,No,OPT,-67092.25
SPX    APR2022 3150 P [SPX   220414P03150000 100],0,USD,27.0616207,0.00,0.00,null,1887.43,No,OPT,0.00
SPX    MAR2022 4025 P [SPX   220318P04025000 100],2,USD,88.1905365,17638.11,113.9314235,-5148.18,0.00,No,OPT,-223803.00
SPX    MAR2022 3825 P [SPX   220318P03825000 100],2,USD,56.5919723,11318.39,36.5312135,4012.15,0.00,No,OPT,-145133.98
SPX    MAR2022 3775 P [SPX   220318P03775000 100],-2,USD,50.8245125,-10164.90,37.8087865,-2603.15,0.00,No,OPT,130235.70
SPX    MAR2022 3625 P [SPX   220318P03625000 100],-4,USD,37.4436531,-14977.46,29.6587865,-3113.95,0.00,No,OPT,189342.39
SPX    MAR2022 3575 P [SPX   220318P03575000 100],-2,USD,33.93647,-6787.29,12.1385865,-4359.58,0.00,No,OPT,85379.67
SPX    MAR2022 3300 P [SPX   220318P03300000 100],2,USD,20.9712296,4194.25,29.8614135,-1778.04,0.00,No,OPT,-49792.45
SPX    MAR2022 3200 P [SPX   220318P03200000 100],0,USD,17.8910504,0.00,0.00,null,3825.43,No,OPT,0.00
SPX    FEB2022 3250 P [SPXW  220218P03250000 100],0,USD,7.2238646,0.00,0.00,null,906.76,No,OPT,0.00
SPX    FEB2022 2350 P [SPX   220218P02350000 100],2,USD,1.0947957,218.96,2.3612135,-253.28,0.00,No,OPT,-2765.94
SPX    JAN2022 2800 P [SPXW  220131P02800000 100],1,USD,0.3375952,33.76,4.616224,-427.86,0.00,No,OPT,-711.91
SPX    JAN2022 3000 P [SPXW  220128P03000000 100],1,USD,0.4323765,43.24,3.116014,-268.36,0.00,No,OPT,-1086.25
SPX    JAN2022 2850 P [SPX   220121P02850000 100],0,USD,0.0001,0.00,null,null,0.00,No,UNK,null
SPX    JAN2022 2750 P [SPXW  220131P02750000 100],1,USD,0.3197093,31.97,4.216014,-389.63,0.00,No,OPT,-600.31
SPX    JAN2022 2600 P [SPXW  220131P02600000 100],2,USD,0.2200296,44.01,2.2910135,-414.20,0.00,No,OPT,-821.51
SPX    JAN2022 2450 P [SPX   220121P02450000 100],0,USD,0.0001,0.00,null,null,0.00,No,UNK,null
MES      MAR2022,0,USD,4324.3471679,0.00,0.00,null,807.92,No,FUT,0.00

Cash Balances
USD,169093,USD
Total (in USD),169093,USD

