Portfolio
Financial Instrument Description,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
SPX    JUL2022 4075 P [SPX   220715P04075000 100],2,USD,118.7186585,23743.73,119.2114915,-98.57,0.00,No,OPT,-224013.58
SPX    JUL2022 3750 P [SPX   220715P03750000 100],-4,USD,70.1758957,-28070.36,70.3185085,57.05,0.00,No,OPT,265308.87
SPX    JUL2022 3075 P [SPX   220715P03075000 100],2,USD,24.6036625,4920.73,24.6714915,-13.57,0.00,No,OPT,-44004.12
SPX    JUN2022 4200 P [SPXW  220630P04200000 100],2,USD,133.4898834,26697.98,137.9927135,-900.57,0.00,No,OPT,-266338.19
SPX    JUN2022 3750 P [SPXW  220630P03750000 100],-6,USD,62.5842552,-37550.55,68.5234343,3563.51,0.00,No,OPT,376351.38
SPX    JUN2022 3050 P [SPXW  220630P03050000 100],6,USD,20.5633869,12338.03,23.2627135,-1619.60,0.00,No,OPT,-115601.26
SPX    APR2022 2400 P [SPXW  220429P02400000 100],2,USD,2.6863284,537.27,2.7627915,-15.29,0.00,No,OPT,-5767.20
SPX    FEB2022 2350 P [SPX   220218P02350000 100],2,USD,0.0005332,0.11,2.3612135,-472.14,0.00,No,OPT,-167.87

Cash Balances
USD,168707,USD
Total (in USD),168707,USD

