Portfolio
Financial Instrument Description,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
SPY,-30,USD,458.7739868,-13763.22,458.7742078,0.01,0.00,No,STK,-13763.22
SPX    APR2022 4300 P [SPXW  220429P04300000 100],2,USD,113.7491989,22749.84,123.5542635,-1961.01,0.00,No,OPT,-261471.82
SPX    APR2022 4025 P [SPXW  220429P04025000 100],-4,USD,69.4416809,-27776.67,74.0574865,1846.32,0.00,No,OPT,317454.01
SPX    APR2022 3400 P [SPXW  220429P03400000 100],2,USD,23.9204864,4784.10,35.1125135,-2238.41,0.00,No,OPT,-51496.24
SPX    APR2022 4325 P [SPX   220414P04325000 100],2,USD,104.7718201,20954.36,109.4212135,-929.88,0.00,No,OPT,-263647.37
SPX    APR2022 4200 P [SPX   220414P04200000 100],2,USD,82.1314163,16426.28,118.2114235,-7216.00,0.00,No,OPT,-206530.34
SPX    APR2022 4075 P [SPX   220414P04075000 100],-4,USD,64.4898147,-25795.93,56.4287865,-3224.41,0.00,No,OPT,323288.05
SPX    APR2022 3925 P [SPX   220414P03925000 100],-4,USD,48.4497681,-19379.91,38.7887865,-3864.39,0.00,No,OPT,240873.27
SPX    APR2022 3500 P [SPX   220414P03500000 100],2,USD,22.5631714,4512.63,27.1812135,-923.61,0.00,No,OPT,-53372.46
SPX    APR2022 3150 P [SPX   220414P03150000 100],2,USD,12.6394835,2527.90,23.8614235,-2244.39,0.00,No,OPT,-28170.33
SPX    MAR2022 4025 P [SPX   220318P04025000 100],2,USD,38.1424866,7628.50,113.9314235,-15157.79,0.00,No,OPT,-117562.89
SPX    MAR2022 3825 P [SPX   220318P03825000 100],2,USD,24.7307987,4946.16,36.5312135,-2360.08,0.00,No,OPT,-74496.48
SPX    MAR2022 3775 P [SPX   220318P03775000 100],-2,USD,22.287365,-4457.47,37.8087865,3104.28,0.00,No,OPT,66614.35
SPX    MAR2022 3625 P [SPX   220318P03625000 100],-4,USD,16.5270691,-6610.83,29.6587865,5252.69,0.00,No,OPT,96275.28
SPX    MAR2022 3575 P [SPX   220318P03575000 100],-2,USD,15.0014277,-3000.29,12.1385865,-572.57,0.00,No,OPT,43296.46
SPX    MAR2022 3100 P [SPX   220318P03100000 100],2,USD,6.5615926,1312.32,12.1412135,-1115.92,0.00,No,OPT,-17123.87
SPX    FEB2022 2350 P [SPX   220218P02350000 100],2,USD,0.5044312,100.89,2.3612135,-371.36,0.00,No,OPT,-1450.59
SPX    JAN2022 2800 P [SPXW  220131P02800000 100],1,USD,0.2824481,28.24,4.616224,-433.38,0.00,No,OPT,-597.99
SPX    JAN2022 2750 P [SPXW  220131P02750000 100],1,USD,0.264077,26.41,4.216014,-395.19,0.00,No,OPT,-520.53
SPX    JAN2022 2600 P [SPXW  220131P02600000 100],2,USD,0.1678165,33.56,2.2910135,-424.64,0.00,No,OPT,-748.07
SPX    JAN2022 3000 P [SPXW  220128P03000000 100],1,USD,0.381803,38.18,3.116014,-273.42,0.00,No,OPT,-824.13
SPX    JAN2022 2850 P [SPX   220121P02850000 100],1,USD,0.0523096,5.23,3.914714,-386.24,0.00,No,OPT,-232.32
SPX    JAN2022 2450 P [SPX   220121P02450000 100],2,USD,0.0000019,0.00,2.6649235,-532.98,0.00,No,OPT,-194.66
SPX    JAN2022 2700 P [SPXW  220114P02700000 100],1,USD,0.00,0.00,4.516014,-451.60,0.00,No,OPT,-107.08

Cash Balances
USD,188569,USD
Total (in USD),188569,USD

