ONE Summary Report

Date/Time: 12/13/2021 10:09:58
Filter: [Account] = 'IB1'
Grouping: Account

,Account,Expiration,TradeId,TradeName,Underlying,Status,TradeType,OpenDate,CloseDate,DaysToExpiration,DaysInTrade,Margin,Comms,PnL,PnLperc
,,Account,TradeId,OpenDate,Transaction,Qty,Symbol,Expiry,Type,Description,Underlying,AvgOpenPrice,Commission,CloseDate,AvgClosePrice,DIT,PnL
IB1 
,"IB1",12/3/2021,285,"244+1lp 2021-10-11 11:37",SPX,Open,Custom,10/11/2021 11:37 AM,,53,63,158973.30,46.46,13780.74,8.67
,,"IB1",285,10/11/2021 11:37:32 AM,Sell,4,SPX   220319P03725000,3/18/2022,Put,SPX Mar22 3725 Put,SPX,68.77,9.12,10/19/2021 10:57:20 AM,43.125,8,5047.999
,,"IB1",285,10/20/2021 4:20:32 PM,Buy,3,SPX,,Stock,SPX Stock,SPX,4536.19,0.03,10/21/2021 10:07:15 AM,4526,1,-30.56982
,,"IB1",285,10/21/2021 10:57:10 AM,Buy,2,SPX,,Stock,SPX Stock,SPX,4537.82,0.02,10/21/2021 11:27:45 AM,4531.37,0,-12.89941
,,"IB1",285,10/14/2021 11:58:25 AM,Sell,4,SPX   220319P03750000,3/18/2022,Put,SPX Mar22 3750 Put,SPX,58.55,9.12,10/26/2021 2:29:50 PM,45.83,12,5087.999
,,"IB1",285,10/11/2021 3:58:48 PM,Buy,1,SPXW  211204P03000000,12/3/2021,Put,SPX Dec21 3000 Put,SPX,2.7,3.01,11/5/2021 10:11:23 AM,0.4,25,-230
,,"IB1",285,10/26/2021 3:30:50 PM,Buy,4,SPX,,Stock,SPX Stock,SPX,4583.82,0.04,11/9/2021 12:23:43 PM,4677,14,372.7207
,,"IB1",285,11/12/2021 11:00:38 AM,Buy,4,SPX,,Stock,SPX Stock,SPX,4697.357,0.04,11/26/2021 9:39:08 AM,4694.48,14,-11.50977
,,"IB1",285,10/26/2021 2:29:50 PM,Sell,4,SPX   220319P03725000,3/18/2022,Put,SPX Mar22 3725 Put,SPX,43.93,9.12,12/7/2021 12:19:04 PM,26.15625,42,3602
,,"IB1",285,12/7/2021 12:17:30 PM,Sell,2,SPX   220319P03750000,3/18/2022,Put,SPX Mar22 3750 Put,SPX,36.125,4.56,12/7/2021 12:21:21 PM,36.35,0,-44.99969
,,"IB1",285,10/11/2021 11:37:32 AM,Buy,4,SPX   220319P02725000,3/18/2022,Put,SPX Mar22 2725 Put,SPX,12.8,4.56
,,"IB1",285,10/11/2021 11:37:32 AM,Buy,2,SPX   220319P04025000,3/18/2022,Put,SPX Mar22 4025 Put,SPX,113.92,2.28
,,"IB1",285,12/7/2021 12:19:04 PM,Sell,4,SPX   220319P03775000,3/18/2022,Put,SPX Mar22 3775 Put,SPX,37.8625,4.56

,"IB1",12/17/2021,287,"244+1lp 2021-10-18 11:29",SPX,Open,Custom,10/18/2021 11:06 AM,,60,56,149317.30,32.29,9601.68,6.43
,,"IB1",287,10/18/2021 11:06:28 AM,Sell,6,SPX   220414P03775000,4/14/2022,Put,SPX Apr22 3775 Put,SPX,75.71,13.69,12/7/2021 12:03:02 PM,32.54167,50,7161
,,"IB1",287,10/20/2021 4:20:52 PM,Buy,2,SPX,,Stock,SPX Stock,SPX,4536.19,0.02,10/21/2021 10:06:54 AM,4526,1,-20.37988
,,"IB1",287,10/21/2021 10:56:34 AM,Buy,3,SPX,,Stock,SPX Stock,SPX,4537.82,0.03,10/21/2021 11:27:57 AM,4530.67,0,-21.44971
,,"IB1",287,10/19/2021 10:39:52 AM,Sell,2,SPX   220414P03800000,4/14/2022,Put,SPX Apr22 3800 Put,SPX,74.425,4.56,10/26/2021 2:33:26 PM,62.26,7,2433.001
,,"IB1",287,10/26/2021 3:31:46 PM,Buy,3,SPX,,Stock,SPX Stock,SPX,4583.82,0.03,11/9/2021 12:24:00 PM,4677,14,279.5405
,,"IB1",287,10/18/2021 11:15:10 AM,Buy,1,SPX   211218P03025000,12/17/2021,Put,SPX Dec21 3025 Put,SPX,2.8,2.52,11/17/2021 3:24:50 PM,0.45,30,-235
,,"IB1",287,11/12/2021 11:00:59 AM,Buy,3,SPX,,Stock,SPX Stock,SPX,4692.823,0.03,11/26/2021 9:39:30 AM,4694.48,14,4.970215
,,"IB1",287,10/18/2021 11:06:28 AM,Buy,4,SPX   220414P02775000,4/14/2022,Put,SPX Apr22 2775 Put,SPX,15.85,4.57
