ONE Detail Report

Date/Time: 1/24/2022 11:02:38
Filter: [Account] = 'IB1'
Grouping: Account

,Account,Expiration,TradeId,TradeName,Underlying,Status,TradeType,OpenDate,CloseDate,DaysToExpiration,DaysInTrade,Margin,Comms,PnL,PnLperc
,,Account,TradeId,Date,Transaction,Qty,Symbol,Expiry,Type,Description,Underlying,Price,Commission
IB1 
,,"IB1",288,11/9/2021 12:24:19 PM,Sell,3,SPX,,Stock,SPX Stock,SPX,4677,0.015
,,"IB1",288,11/12/2021 11:01:23 AM,Buy,1,SPX,,Stock,SPX Stock,SPX,4660.05,0.005
,,"IB1",288,11/16/2021 3:40:40 PM,Buy,2,SPX,,Stock,SPX Stock,SPX,4709.21,0.01
,,"IB1",288,11/26/2021 9:39:52 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4694.48,0.015
,,"IB1",288,12/7/2021 11:54:54 AM,Buy,2,SPXW  220331P03800000,3/31/2022,Put,SPX Mar22 3800 Put,SPX,46.5,2.28
,,"IB1",288,12/7/2021 11:54:54 AM,Sell,2,SPXW  220331P03825000,3/31/2022,Put,SPX Mar22 3825 Put,SPX,48.3,2.28
,,"IB1",288,12/7/2021 11:56:37 AM,Buy,2,SPXW  220331P03800000,3/31/2022,Put,SPX Mar22 3800 Put,SPX,46.5,1.14
,,"IB1",288,12/7/2021 11:56:37 AM,Sell,2,SPXW  220331P03850000,3/31/2022,Put,SPX Mar22 3850 Put,SPX,50.25,1.14
,,"IB1",288,12/23/2021 11:38:30 AM,Buy,2,SPXW  220331P03850000,3/31/2022,Put,SPX Mar22 3850 Put,SPX,31.55,2.28
,,"IB1",288,12/23/2021 11:38:30 AM,Buy,2,SPXW  220331P03825000,3/31/2022,Put,SPX Mar22 3825 Put,SPX,30.25,2.28
,,"IB1",288,12/23/2021 11:38:30 AM,Sell,2,SPXW  220331P04100000,3/31/2022,Put,SPX Mar22 4100 Put,SPX,49.65,2.28
,,"IB1",288,12/23/2021 11:38:30 AM,Sell,2,SPXW  220331P03175000,3/31/2022,Put,SPX Mar22 3175 Put,SPX,11.2,2.28
,,"IB1",288,1/21/2022 9:50:55 AM,Sell,2,SPX   220122P02450000,1/21/2022,Put,SPX Jan22 2450 Put,SPX,0,2.28

,"IB1",1/21/2022,303,"hedge for 244 #302",SPX,Closed,Custom,11/22/2021 11:11 AM,12/6/2021 12:19 PM,60,14,340.00,2.61,450.00,132.35
,,"IB1",303,11/22/2021 11:11:52 AM,Buy,1,SPXW  220122P03050000,1/21/2022,Put,SPX Jan22 3050 Put,SPX,3.4,1.47
,,"IB1",303,12/6/2021 12:19:55 PM,Sell,1,SPXW  220122P03050000,1/21/2022,Put,SPX Jan22 3050 Put,SPX,7.9,1.14

,"IB1",1/31/2022,296,"242+1lp 2021-10-28 11:00",SPX,Open,Custom,10/28/2021 11:04 AM,,95,88,98362.45,31.87,1417.54,1.44
,,"IB1",296,10/28/2021 11:04:03 AM,Buy,2,SPX   220414P03150000,4/14/2022,Put,SPX Apr22 3150 Put,SPX,23.85,2.28
,,"IB1",296,10/28/2021 11:04:03 AM,Buy,1,SPXW  220131P02800000,1/31/2022,Put,SPX Jan22 2800 Put,SPX,4.6,1.14
,,"IB1",296,10/28/2021 11:04:03 AM,Buy,2,SPX   220414P04200000,4/14/2022,Put,SPX Apr22 4200 Put,SPX,118.2,2.28
,,"IB1",296,10/28/2021 11:04:03 AM,Sell,4,SPX   220414P03875000,4/14/2022,Put,SPX Apr22 3875 Put,SPX,72.3,4.6
,,"IB1",296,11/4/2021 2:23:22 PM,Buy,3,SPX,,Stock,SPX Stock,SPX,4672.81,1
,,"IB1",296,11/9/2021 12:25:05 PM,Sell,3,SPX,,Stock,SPX Stock,SPX,4677,0.015
,,"IB1",296,11/12/2021 11:02:02 AM,Buy,1,SPX,,Stock,SPX Stock,SPX,4660.05,0.005
,,"IB1",296,11/16/2021 3:41:10 PM,Buy,2,SPX,,Stock,SPX Stock,SPX,4709.21,0.01
,,"IB1",296,11/26/2021 9:40:28 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4694.48,0.015
,,"IB1",296,12/7/2021 11:49:41 AM,Buy,4,SPX   220414P03875000,4/14/2022,Put,SPX Apr22 3875 Put,SPX,60.6,1.14
,,"IB1",296,12/7/2021 11:49:41 AM,Sell,4,SPX   220414P03900000,4/14/2022,Put,SPX Apr22 3900 Put,SPX,62.9,1.14
,,"IB1",296,12/28/2021 9:47:13 AM,Buy,4,SPX   220414P03900000,4/14/2022,Put,SPX Apr22 3900 Put,SPX,37.3,4.56
,,"IB1",296,12/28/2021 9:47:13 AM,Sell,4,SPX   220414P03925000,4/14/2022,Put,SPX Apr22 3925 Put,SPX,38.8,4.56
,,"IB1",296,1/21/2022 10:23:54 AM,Buy,4,SPX   220414P03925000,4/14/2022,Put,SPX Apr22 3925 Put,SPX,72.6,4.56
,,"IB1",296,1/21/2022 10:23:54 AM,Sell,4,SPX   220414P03900000,4/14/2022,Put,SPX Apr22 3900 Put,SPX,69.3,4.56

